"판시사항","횡령죄의 객체인 타인의 재물이 누구의 소유인지가 횡령죄의 성립에 영향을 미치는지 여부 / 주식회사의 주주나 대표이사 또는 그에 준하여 회사 자금의 보관이나 운용에 관한 사실상의 사무를 처리하는 자가 회사 소유의 재산을 사적인 용도로 함부로 처분한 경우, 횡령죄가 성립하는지 여부"
"판결요지","따라서 횡령죄의 객체가 타인의 재물에 속하는 이상 구체적으로 누구의 소유인지는 횡령죄의 성립 여부에 영향이 없다."
"판결요지","주식회사는 주주와 독립된 별개의 권리주체로서 그 이해가 반드시 일치하는 것은 아니므로, 주주나 대표이사 또는 그에 준하여 회사 자금의 보관이나 운용에 관한 사실상의 사무를 처리하는 자가 회사 소유의 재산을 사적인 용도로 함부로 처분하였다면 횡령죄가 성립한다."
"이유","따라서 횡령죄의 객체가 타인의 재물에 속하는 이상 구체적으로 누구의 소유인지는 횡령죄의 성립 여부에 영향이 없다."
"이유","주주나 대표이사 또는 그에 준하여 회사 자금의 보관이나 운용에 관한 사실상의 사무를 처리하는 자가 회사 소유의 재산을 사적인 용도로 함부로 처분하였다면 횡령죄가 성립한다."
"이유","원심은 피고인 1에 대한 공소사실 중 특정경제범죄 가중처벌 등에 관한 법률 위반 부분과 피고인 2에 대한 공소사실을 유죄로 판단한 제1심판결을 그대로 유지하였다."
"이유","이러한 주장은 피고인들이 항소이유로 삼거나 원심이 직권으로 심판대상으로 삼은 바가 없는 것을 상고심에 이르러 비로소 주장하는 것으로 적법한 상고이유가 될 수 없다."
"이유","법인격 부인 또는 남용 법리는 회사가 법인격을 남용했다고 볼 수 있는 예외적인 경우에 회사에 법인격이 있더라도 이를 무시하고 그 뒤에 있는 배후자에게 책임을 추궁하는 것이다."
"이유","원심판결에 자백의 대상과 신빙성, 횡령의 범의와 불법영득의사에 관한 심리미진과 법리오해의 잘못이 있다는 주장은 피고인들이 항소이유로 주장하거나 원심이 직권으로 심판대상으로 삼은 바 없는 것을 상고심에 이르러 비로소 주장하는 것으로 적법한 상고이유가 될 수 없다."
"이유","원심판결 이유를 위에서 본 법리와 적법하게 채택된 증거에 비추어 살펴보면, 원심의 판단에 필요한 심리를 다하지 않은 채 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어나거나 횡령죄에서 피해자의 특정에 관한 법리를 오해한 잘못이 없다."
"이유","피고인들이 피해 회사의 자회사 계좌를 이용하여 피해 회사의 납품대금을 횡령한 이 사건에서 법인격 부인 여부에 따라 횡령죄의 성립이 좌우되는 것도 아니다."
"이유","원심판결 이유를 적법하게 채택된 증거에 비추어 살펴보아도, 원심의 판단에 상고이유 주장과 같이 자백의 대상과 신빙성, 횡령의 범의와 불법영득의사에 관한 법리를 오해하거나 필요한 심리를 다하지 않은 채 논리와 경험의 법칙에 반하여 자유심증주의의 한계를 벗어난 잘못이 없다."
